n,r,k,valid_log, valid_results, log_time_diff,result_time_diff
2, 10, 2, true, true, 40000, 38000
4, 10, 2, true, true, 80000, 78000
8, 10, 2, true, true, 160000, 158000
16, 10, 2, true, true, 322000, 320000
32, 10, 2, true, true, 642000, 640000
